,_orig,Kind,Agent_Id,Queue_Id,Thread_Id,Dispatch_Id,Kernel_Id,Kernel_Name,Correlation_Id,Start_Timestamp,End_Timestamp,Private_Segment_Size,Group_Segment_Size,Workgroup_Size_X,Workgroup_Size_Y,Workgroup_Size_Z,Grid_Size_X,Grid_Size_Y,Grid_Size_Z,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,source_file,duration_us
66,654,KERNEL_DISPATCH,7,2,295564,44,273,kernel_unified_attention_2d,44,279852632341081,279852634992628,0,20480,256,1,1,98304,8,1,decode,1,2048,256,512,32,standalone_attn_decode_1.0_2048.0_256.0_512.0_32.0_kernel_trace.csv,2651.547
67,655,KERNEL_DISPATCH,7,2,295564,45,273,kernel_unified_attention_2d,45,279852635122415,279852637743532,0,20480,256,1,1,98304,8,1,decode,1,2048,256,512,32,standalone_attn_decode_1.0_2048.0_256.0_512.0_32.0_kernel_trace.csv,2621.117
68,656,KERNEL_DISPATCH,7,2,295564,46,273,kernel_unified_attention_2d,46,279852637857072,279852640478590,0,20480,256,1,1,98304,8,1,decode,1,2048,256,512,32,standalone_attn_decode_1.0_2048.0_256.0_512.0_32.0_kernel_trace.csv,2621.518
69,657,KERNEL_DISPATCH,7,2,295564,47,273,kernel_unified_attention_2d,47,279852640590462,279852643211298,0,20480,256,1,1,98304,8,1,decode,1,2048,256,512,32,standalone_attn_decode_1.0_2048.0_256.0_512.0_32.0_kernel_trace.csv,2620.836
70,700,KERNEL_DISPATCH,7,2,162029,43,273,kernel_unified_attention_2d,43,267876034711783,267876034898932,0,20480,256,1,1,12288,8,1,decode,1,2048,32,256,32,standalone_attn_decode_1.0_2048.0_32.0_256.0_32.0_kernel_trace.csv,187.149
71,701,KERNEL_DISPATCH,7,2,162029,44,273,kernel_unified_attention_2d,44,267876035179092,267876035363674,0,20480,256,1,1,12288,8,1,decode,1,2048,32,256,32,standalone_attn_decode_1.0_2048.0_32.0_256.0_32.0_kernel_trace.csv,184.582
72,702,KERNEL_DISPATCH,7,2,162029,45,273,kernel_unified_attention_2d,45,267876035491286,267876035691825,0,20480,256,1,1,12288,8,1,decode,1,2048,32,256,32,standalone_attn_decode_1.0_2048.0_32.0_256.0_32.0_kernel_trace.csv,200.539
73,703,KERNEL_DISPATCH,7,2,162029,46,273,kernel_unified_attention_2d,46,267876035800032,267876035984735,0,20480,256,1,1,12288,8,1,decode,1,2048,32,256,32,standalone_attn_decode_1.0_2048.0_32.0_256.0_32.0_kernel_trace.csv,184.703
74,704,KERNEL_DISPATCH,7,2,162029,47,273,kernel_unified_attention_2d,47,267876036089695,267876036274077,0,20480,256,1,1,12288,8,1,decode,1,2048,32,256,32,standalone_attn_decode_1.0_2048.0_32.0_256.0_32.0_kernel_trace.csv,184.382
75,747,KERNEL_DISPATCH,7,2,229922,43,273,kernel_unified_attention_2d,43,275387025448755,275387025778990,0,20480,256,1,1,12288,8,1,decode,1,2048,32,512,32,standalone_attn_decode_1.0_2048.0_32.0_512.0_32.0_kernel_trace.csv,330.235
76,748,KERNEL_DISPATCH,7,2,229922,44,273,kernel_unified_attention_2d,44,275387026050273,275387026407651,0,20480,256,1,1,12288,8,1,decode,1,2048,32,512,32,standalone_attn_decode_1.0_2048.0_32.0_512.0_32.0_kernel_trace.csv,357.378
77,749,KERNEL_DISPATCH,7,2,229922,45,273,kernel_unified_attention_2d,45,275387026533275,275387026861306,0,20480,256,1,1,12288,8,1,decode,1,2048,32,512,32,standalone_attn_decode_1.0_2048.0_32.0_512.0_32.0_kernel_trace.csv,328.031
78,750,KERNEL_DISPATCH,7,2,229922,46,273,kernel_unified_attention_2d,46,275387026971127,275387027328906,0,20480,256,1,1,12288,8,1,decode,1,2048,32,512,32,standalone_attn_decode_1.0_2048.0_32.0_512.0_32.0_kernel_trace.csv,357.779
79,751,KERNEL_DISPATCH,7,2,229922,47,273,kernel_unified_attention_2d,47,275387027434497,275387027762247,0,20480,256,1,1,12288,8,1,decode,1,2048,32,512,32,standalone_attn_decode_1.0_2048.0_32.0_512.0_32.0_kernel_trace.csv,327.75
80,794,KERNEL_DISPATCH,7,2,222995,43,273,kernel_unified_attention_2d,43,273970950863710,273970953838437,0,20480,256,1,1,196608,8,1,decode,1,2048,512,256,32,standalone_attn_decode_1.0_2048.0_512.0_256.0_32.0_kernel_trace.csv,2974.727
81,795,KERNEL_DISPATCH,7,2,222995,44,273,kernel_unified_attention_2d,44,273970954116632,273970957092201,0,20480,256,1,1,196608,8,1,decode,1,2048,512,256,32,standalone_attn_decode_1.0_2048.0_512.0_256.0_32.0_kernel_trace.csv,2975.569
82,796,KERNEL_DISPATCH,7,2,222995,45,273,kernel_unified_attention_2d,45,273970957219933,273970960178583,0,20480,256,1,1,196608,8,1,decode,1,2048,512,256,32,standalone_attn_decode_1.0_2048.0_512.0_256.0_32.0_kernel_trace.csv,2958.65
83,797,KERNEL_DISPATCH,7,2,222995,46,273,kernel_unified_attention_2d,46,273970960288915,273970963245560,0,20480,256,1,1,196608,8,1,decode,1,2048,512,256,32,standalone_attn_decode_1.0_2048.0_512.0_256.0_32.0_kernel_trace.csv,2956.645
84,798,KERNEL_DISPATCH,7,2,222995,47,273,kernel_unified_attention_2d,47,273970963357095,273970966298425,0,20480,256,1,1,196608,8,1,decode,1,2048,512,256,32,standalone_attn_decode_1.0_2048.0_512.0_256.0_32.0_kernel_trace.csv,2941.33
85,841,KERNEL_DISPATCH,7,2,318395,43,273,kernel_unified_attention_2d,43,281360279029956,281360284280690,0,20480,256,1,1,196608,8,1,decode,1,2048,512,512,32,standalone_attn_decode_1.0_2048.0_512.0_512.0_32.0_kernel_trace.csv,5250.734
86,842,KERNEL_DISPATCH,7,2,318395,44,273,kernel_unified_attention_2d,44,281360284564058,281360289821287,0,20480,256,1,1,196608,8,1,decode,1,2048,512,512,32,standalone_attn_decode_1.0_2048.0_512.0_512.0_32.0_kernel_trace.csv,5257.229
87,843,KERNEL_DISPATCH,7,2,318395,45,273,kernel_unified_attention_2d,45,281360289952186,281360295206569,0,20480,256,1,1,196608,8,1,decode,1,2048,512,512,32,standalone_attn_decode_1.0_2048.0_512.0_512.0_32.0_kernel_trace.csv,5254.383
88,844,KERNEL_DISPATCH,7,2,318395,46,273,kernel_unified_attention_2d,46,281360295320870,281360300573329,0,20480,256,1,1,196608,8,1,decode,1,2048,512,512,32,standalone_attn_decode_1.0_2048.0_512.0_512.0_32.0_kernel_trace.csv,5252.459
89,845,KERNEL_DISPATCH,7,2,318395,47,273,kernel_unified_attention_2d,47,281360300686989,281360305936680,0,20480,256,1,1,196608,8,1,decode,1,2048,512,512,32,standalone_attn_decode_1.0_2048.0_512.0_512.0_32.0_kernel_trace.csv,5249.691
90,888,KERNEL_DISPATCH,7,2,184667,43,273,kernel_unified_attention_2d,43,269373487453997,269373487826088,0,20480,256,1,1,24576,8,1,decode,1,2048,64,256,32,standalone_attn_decode_1.0_2048.0_64.0_256.0_32.0_kernel_trace.csv,372.091
91,889,KERNEL_DISPATCH,7,2,184667,44,273,kernel_unified_attention_2d,44,269373488103361,269373488487801,0,20480,256,1,1,24576,8,1,decode,1,2048,64,256,32,standalone_attn_decode_1.0_2048.0_64.0_256.0_32.0_kernel_trace.csv,384.44
92,890,KERNEL_DISPATCH,7,2,184667,45,273,kernel_unified_attention_2d,45,269373488618139,269373488986582,0,20480,256,1,1,24576,8,1,decode,1,2048,64,256,32,standalone_attn_decode_1.0_2048.0_64.0_256.0_32.0_kernel_trace.csv,368.443
93,891,KERNEL_DISPATCH,7,2,184667,46,273,kernel_unified_attention_2d,46,269373489098077,269373489482637,0,20480,256,1,1,24576,8,1,decode,1,2048,64,256,32,standalone_attn_decode_1.0_2048.0_64.0_256.0_32.0_kernel_trace.csv,384.56
94,892,KERNEL_DISPATCH,7,2,184667,47,273,kernel_unified_attention_2d,47,269373489592929,269373489960972,0,20480,256,1,1,24576,8,1,decode,1,2048,64,256,32,standalone_attn_decode_1.0_2048.0_64.0_256.0_32.0_kernel_trace.csv,368.043
95,935,KERNEL_DISPATCH,7,2,251440,43,273,kernel_unified_attention_2d,43,276883170318146,276883170976933,0,20480,256,1,1,24576,8,1,decode,1,2048,64,512,32,standalone_attn_decode_1.0_2048.0_64.0_512.0_32.0_kernel_trace.csv,658.787
