,cu_mask,decode_batch_size,decode_len,prefill_len,prefill_batch,prefill_avg_time,decode_avg_time
688,64.0,256,256,512,16,4358.198333333333,775.1336666666666
689,64.0,256,256,1024,1,1078.7613333333334,775.2673333333333
690,64.0,256,256,1024,4,4129.435,780.4653333333333
691,64.0,256,256,1024,8,8209.303333333333,764.5626666666666
692,64.0,256,256,2048,1,4112.008666666667,783.085
693,64.0,256,256,2048,4,16170.133333333333,765.418
694,64.0,256,256,2048,8,32221.875666666667,765.1373333333333
695,64.0,256,256,4096,1,16227.116333333333,764.977
696,64.0,256,256,4096,4,63192.98166666667,803.559
697,64.0,256,512,256,1,157.15966666666665,1328.212
698,64.0,256,512,256,4,395.919,1331.153
699,64.0,256,512,256,8,623.1993333333334,1341.3223333333333
700,64.0,256,512,256,16,1220.352,1374.3846666666668
701,64.0,256,512,256,32,2437.778,1375.6943333333334
702,64.0,256,512,512,1,374.49666666666667,1321.7443333333333
703,64.0,256,512,512,4,1090.963,1381.5613333333333
704,64.0,256,512,512,8,2163.8176666666664,1381.748
705,64.0,256,512,512,16,4360.524,1363.9746666666667
706,64.0,256,512,1024,1,1089.8003333333334,1382.336
707,64.0,256,512,1024,4,4147.489666666666,1378.6343333333332
708,64.0,256,512,1024,8,8260.955333333333,1353.497
709,64.0,256,512,2048,1,4957.691,1862.288
710,64.0,256,512,2048,4,19257.291,1820.9396666666667
711,64.0,256,512,2048,8,32625.519,1353.791
712,64.0,256,512,4096,1,16425.584333333332,1473.6383333333333
713,64.0,256,512,4096,4,69701.39633333332,2252.0866666666666
714,64.0,256,1024,256,1,225.83666666666664,2488.8283333333334
715,64.0,256,1024,256,4,572.055,2491.1936666666666
716,64.0,256,1024,256,8,816.5746666666666,2501.4166666666665
717,64.0,256,1024,256,16,1285.702,2527.7173333333335
718,64.0,256,1024,256,32,2437.8446666666664,2565.2163333333333
719,64.0,256,1024,512,1,534.2756666666667,2494.6946666666663
720,64.0,256,1024,512,4,1183.508,2524.63
721,64.0,256,1024,512,8,2179.7606666666666,2578.2463333333335
722,64.0,256,1024,512,16,4365.495333333333,2573.6756666666665
723,64.0,256,1024,1024,1,1175.316,2524.2293333333337
724,64.0,256,1024,1024,4,4129.181333333334,2581.146
725,64.0,256,1024,1024,8,8242.820666666667,2567.6616666666664
726,64.0,256,1024,2048,1,4091.776,2587.227
727,64.0,256,1024,2048,4,16013.294,2575.0386666666664
728,64.0,256,1024,2048,8,31984.425,2599.321
729,64.0,256,1024,4096,1,16297.009666666667,2567.1006666666667
730,64.0,256,1024,4096,4,63527.118,2615.4383333333335
731,64.0,256,2048,256,1,331.7323333333333,4770.823333333333
732,64.0,256,2048,256,4,957.07,4767.762666666667
733,64.0,256,2048,256,8,1188.9206666666666,4828.234666666667
734,64.0,256,2048,256,16,1665.865,4857.033666666667
735,64.0,256,2048,256,32,2622.6543333333334,4940.665333333333
736,64.0,256,2048,512,1,768.7593333333334,4770.783
737,64.0,256,2048,512,4,1567.1593333333333,4851.688666666667
738,64.0,256,2048,512,8,2441.199,4979.540666666667
739,64.0,256,2048,512,16,4398.865666666667,5059.524333333333
740,64.0,256,2048,1024,1,1565.676,4822.862666666667
741,64.0,256,2048,1024,4,4906.694,5829.005
742,64.0,256,2048,1024,8,8294.285333333333,5079.823333333333
743,64.0,256,2048,2048,1,4107.4783333333335,5087.133666666667
744,64.0,256,2048,2048,4,15966.373666666666,5088.523666666667
745,64.0,256,2048,2048,8,31846.925,5147.725666666667
746,64.0,256,2048,4096,1,16118.936666666666,5098.880333333333
747,64.0,256,2048,4096,4,62746.02766666666,5293.873333333333
748,64.0,256,4096,256,1,650.007,9394.949
749,64.0,256,4096,256,4,1737.5353333333333,9425.111333333334
750,64.0,256,4096,256,8,1990.5946666666669,9465.710666666666
751,64.0,256,4096,256,16,2500.588,9539.774333333335
752,64.0,256,4096,256,32,3504.8726666666666,9639.963
753,64.0,256,4096,512,1,1351.6256666666668,9415.075333333334
754,64.0,256,4096,512,4,2371.359,9518.205
755,64.0,256,4096,512,8,3280.0246666666667,9653.835666666666
756,64.0,256,4096,512,16,5082.455333333333,9802.161666666667
757,64.0,256,4096,1024,1,2357.1133333333337,9526.945
758,64.0,256,4096,1024,4,4931.764,9823.877666666665
759,64.0,256,4096,1024,8,8335.899333333333,9943.899333333335
760,64.0,256,4096,2048,1,4885.725666666667,9786.178666666667
761,64.0,256,4096,2048,4,15984.934333333335,10015.008333333333
762,64.0,256,4096,2048,8,31899.855333333333,10157.748333333335
763,64.0,256,4096,4096,1,16118.266333333335,10003.355
764,64.0,256,4096,4096,4,62501.36666666666,10262.588666666667
765,64.0,512,256,256,1,119.20633333333333,1500.1793333333333
766,64.0,512,256,256,4,416.54,1514.96
