,mode,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_prefill_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline,avg_prefill_duration_us_baseline
245,decode,32,256,16,512,304.0,31.40533333333333,,,31.40533333333333,,31.40533333333333,,,31.40533333333333,
246,decode,32,256,8,1024,32.0,58.721000000000004,,,58.721000000000004,,57.919333333333334,,,57.919333333333334,
247,decode,32,256,8,1024,304.0,57.919333333333334,,,57.919333333333334,,57.919333333333334,,,57.919333333333334,
248,decode,32,256,8,2048,32.0,110.43933333333332,,,110.43933333333332,,111.38833333333332,,,111.38833333333332,
249,decode,32,256,8,2048,304.0,111.38833333333332,,,111.38833333333332,,111.38833333333332,,,111.38833333333332,
250,decode,32,256,8,256,32.0,19.898999999999997,,,19.898999999999997,,18.856666666666666,,,18.856666666666666,
251,decode,32,256,8,256,64.0,18.869666666666664,,,18.869666666666664,,18.856666666666666,,,18.856666666666666,
252,decode,32,256,8,256,304.0,18.856666666666666,,,18.856666666666666,,18.856666666666666,,,18.856666666666666,
253,decode,32,256,8,4096,32.0,213.756,,,213.756,,214.691,,,214.691,
254,decode,32,256,8,4096,304.0,214.691,,,214.691,,214.691,,,214.691,
255,decode,32,256,8,512,32.0,31.752666666666666,,,31.752666666666666,,32.327333333333335,,,32.327333333333335,
256,decode,32,256,8,512,304.0,32.327333333333335,,,32.327333333333335,,32.327333333333335,,,32.327333333333335,
257,decode_3d,1,1024,1,1024,32.0,,8.566666666666666,4.636666666666667,13.203333333333333,,,9.301,5.385333333333333,14.686333333333334,
258,decode_3d,1,1024,1,1024,304.0,,9.301,5.385333333333333,14.686333333333334,,,9.301,5.385333333333333,14.686333333333334,
259,decode_3d,1,1024,1,2048,32.0,,12.508333333333333,5.212,17.720333333333333,,,12.094333333333333,4.2363333333333335,16.330666666666666,
