,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,first_kernel,is_3d,rows_in_group,rows_expected,rows_ok,avg_final_overlap_pct_nonzero,count_nonzero
150,16.0,1024.0,32.0,2048.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
151,16.0,1024.0,32.0,2048.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
152,16.0,1024.0,32.0,2048.0,32.0,kernel_unified_attention_3d,True,15,15,True,24.17918540473078,4
153,16.0,1024.0,32.0,2048.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
154,16.0,1024.0,32.0,2048.0,96.0,kernel_unified_attention_3d,True,15,15,True,2.6236559139784945,1
155,16.0,1024.0,32.0,2048.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
156,16.0,1024.0,32.0,256.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
157,16.0,1024.0,32.0,256.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
158,16.0,1024.0,32.0,256.0,32.0,kernel_unified_attention_3d,True,15,15,True,2.602633617350891,1
159,16.0,1024.0,32.0,256.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
160,16.0,1024.0,32.0,256.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
161,16.0,1024.0,32.0,256.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
162,16.0,1024.0,32.0,4096.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
163,16.0,1024.0,32.0,4096.0,160.0,kernel_unified_attention_3d,True,15,15,True,4.104308390022675,1
164,16.0,1024.0,32.0,4096.0,32.0,kernel_unified_attention_3d,True,15,15,True,58.45609097263818,4
165,16.0,1024.0,32.0,4096.0,64.0,kernel_unified_attention_3d,True,15,15,True,24.7334548449858,3
166,16.0,1024.0,32.0,4096.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
167,16.0,1024.0,32.0,4096.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
168,16.0,1024.0,32.0,512.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
169,16.0,1024.0,32.0,512.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
170,16.0,1024.0,32.0,512.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
171,16.0,1024.0,32.0,512.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
172,16.0,1024.0,32.0,512.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
173,16.0,1024.0,32.0,512.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
174,16.0,1024.0,32.0,8192.0,128.0,kernel_unified_attention_3d,True,15,15,True,11.008674479221417,2
175,16.0,1024.0,32.0,8192.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
176,16.0,1024.0,32.0,8192.0,32.0,kernel_unified_attention_3d,True,15,15,True,76.93588249562367,4
177,16.0,1024.0,32.0,8192.0,64.0,kernel_unified_attention_3d,True,15,15,True,51.99271966718834,4
178,16.0,1024.0,32.0,8192.0,96.0,kernel_unified_attention_3d,True,15,15,True,25.792596510655592,4
179,16.0,1024.0,32.0,8192.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
180,16.0,1024.0,4.0,1024.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
181,16.0,1024.0,4.0,1024.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
182,16.0,1024.0,4.0,1024.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
183,16.0,1024.0,4.0,1024.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
184,16.0,1024.0,4.0,1024.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
185,16.0,1024.0,4.0,1024.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
186,16.0,1024.0,4.0,2048.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
187,16.0,1024.0,4.0,2048.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
188,16.0,1024.0,4.0,2048.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
189,16.0,1024.0,4.0,2048.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
190,16.0,1024.0,4.0,2048.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
191,16.0,1024.0,4.0,2048.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
192,16.0,1024.0,4.0,256.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
193,16.0,1024.0,4.0,256.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
194,16.0,1024.0,4.0,256.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
195,16.0,1024.0,4.0,256.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
196,16.0,1024.0,4.0,256.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
197,16.0,1024.0,4.0,256.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
198,16.0,1024.0,4.0,4096.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
199,16.0,1024.0,4.0,4096.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
200,16.0,1024.0,4.0,4096.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
201,16.0,1024.0,4.0,4096.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
202,16.0,1024.0,4.0,4096.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
203,16.0,1024.0,4.0,4096.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
204,16.0,1024.0,4.0,512.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
205,16.0,1024.0,4.0,512.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
206,16.0,1024.0,4.0,512.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
207,16.0,1024.0,4.0,512.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
208,16.0,1024.0,4.0,512.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
209,16.0,1024.0,4.0,512.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
210,16.0,1024.0,4.0,8192.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
211,16.0,1024.0,4.0,8192.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
212,16.0,1024.0,4.0,8192.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
213,16.0,1024.0,4.0,8192.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
214,16.0,1024.0,4.0,8192.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
215,16.0,1024.0,4.0,8192.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
216,16.0,1024.0,64.0,1024.0,128.0,kernel_unified_attention_3d,True,15,15,True,4.278587874136608,1
217,16.0,1024.0,64.0,1024.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.1408167370750352,1
218,16.0,1024.0,64.0,1024.0,32.0,kernel_unified_attention_3d,True,15,15,True,43.356293780529384,4
219,16.0,1024.0,64.0,1024.0,64.0,kernel_unified_attention_3d,True,15,15,True,4.480766521065239,1
220,16.0,1024.0,64.0,1024.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
221,16.0,1024.0,64.0,1024.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
222,16.0,1024.0,64.0,2048.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
223,16.0,1024.0,64.0,2048.0,160.0,kernel_unified_attention_3d,True,15,15,True,1.7616785431512274,2
224,16.0,1024.0,64.0,2048.0,32.0,kernel_unified_attention_3d,True,15,15,True,62.11929417759515,4
225,16.0,1024.0,64.0,2048.0,64.0,kernel_unified_attention_3d,True,15,15,True,28.4148907395007,4
226,16.0,1024.0,64.0,2048.0,96.0,kernel_unified_attention_3d,True,15,15,True,1.2123311395912713,1
227,16.0,1024.0,64.0,2048.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
228,16.0,1024.0,64.0,256.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
229,16.0,1024.0,64.0,256.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
230,16.0,1024.0,64.0,256.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
231,16.0,1024.0,64.0,256.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
232,16.0,1024.0,64.0,256.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
233,16.0,1024.0,64.0,256.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
234,16.0,1024.0,64.0,4096.0,128.0,kernel_unified_attention_3d,True,15,15,True,11.334936711048348,3
235,16.0,1024.0,64.0,4096.0,160.0,kernel_unified_attention_3d,True,15,15,True,4.194101891635511,1
236,16.0,1024.0,64.0,4096.0,32.0,kernel_unified_attention_3d,True,15,15,True,79.20955196503809,4
237,16.0,1024.0,64.0,4096.0,64.0,kernel_unified_attention_3d,True,15,15,True,38.06092467231843,6
238,16.0,1024.0,64.0,4096.0,96.0,kernel_unified_attention_3d,True,15,15,True,32.33423993566998,3
239,16.0,1024.0,64.0,4096.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
240,16.0,1024.0,64.0,512.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
241,16.0,1024.0,64.0,512.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
242,16.0,1024.0,64.0,512.0,32.0,kernel_unified_attention_3d,True,15,15,True,21.596141500282396,3
243,16.0,1024.0,64.0,512.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
244,16.0,1024.0,64.0,512.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
245,16.0,1024.0,64.0,512.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
246,16.0,1024.0,64.0,8192.0,128.0,kernel_unified_attention_3d,True,15,15,True,44.11738642538667,4
247,16.0,1024.0,64.0,8192.0,160.0,kernel_unified_attention_3d,True,15,15,True,33.79586798362182,4
248,16.0,1024.0,64.0,8192.0,32.0,kernel_unified_attention_3d,True,15,15,True,89.32295093757236,4
249,16.0,1024.0,64.0,8192.0,64.0,kernel_unified_attention_3d,True,15,15,True,75.98582194339082,4
250,16.0,1024.0,64.0,8192.0,96.0,kernel_unified_attention_3d,True,15,15,True,58.14230947870166,4
251,16.0,1024.0,64.0,8192.0,304.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
252,16.0,1024.0,8.0,1024.0,128.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
253,16.0,1024.0,8.0,1024.0,160.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
254,16.0,1024.0,8.0,1024.0,32.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
255,16.0,1024.0,8.0,1024.0,64.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
256,16.0,1024.0,8.0,1024.0,96.0,kernel_unified_attention_3d,True,15,15,True,0.0,0
