,kernel,prefill_batch,prefill_len,decode_batch_size,decode_len,cu_mask,avg_duration_2d_us,avg_duration_3d_us,avg_duration_reduce_segment_us,avg_decode_duration_us,avg_duration_2d_us_baseline,avg_duration_3d_us_baseline,avg_duration_reduce_segment_us_baseline,avg_decode_duration_us_baseline
139,2d,1,2048,64,512,304.0,33.102,,,33.102,,21.516000000000002,6.200666666666667,27.71666666666667
140,2d,1,2048,8,1024,32.0,58.84133333333333,,,58.84133333333333,58.961666666666666,,,58.961666666666666
141,2d,1,2048,8,1024,32.0,58.84133333333333,,,58.84133333333333,,9.261000000000001,5.145333333333333,14.406333333333334
142,2d,1,2048,8,1024,304.0,58.961666666666666,,,58.961666666666666,58.961666666666666,,,58.961666666666666
143,2d,1,2048,8,1024,304.0,58.961666666666666,,,58.961666666666666,,9.261000000000001,5.145333333333333,14.406333333333334
144,2d,1,2048,8,2048,32.0,109.918,,,109.918,110.132,,,110.132
145,2d,1,2048,8,2048,32.0,109.918,,,109.918,,13.123333333333333,5.358999999999999,18.482333333333333
146,2d,1,2048,8,2048,304.0,110.132,,,110.132,110.132,,,110.132
147,2d,1,2048,8,2048,304.0,110.132,,,110.132,,13.123333333333333,5.358999999999999,18.482333333333333
148,2d,1,2048,8,256,32.0,19.591,,,19.591,19.43166666666667,,,19.43166666666667
149,2d,1,2048,8,256,32.0,19.591,,,19.591,,7.056333333333332,5.038333333333333,12.094666666666665
150,2d,1,2048,8,256,304.0,19.43166666666667,,,19.43166666666667,19.43166666666667,,,19.43166666666667
151,2d,1,2048,8,256,304.0,19.43166666666667,,,19.43166666666667,,7.056333333333332,5.038333333333333,12.094666666666665
152,2d,1,2048,8,4096,32.0,215.49300000000002,,,215.49300000000002,214.6643333333333,,,214.6643333333333
153,2d,1,2048,8,4096,32.0,215.49300000000002,,,215.49300000000002,,19.671999999999997,5.024666666666667,24.696666666666665
154,2d,1,2048,8,4096,304.0,214.6643333333333,,,214.6643333333333,214.6643333333333,,,214.6643333333333
155,2d,1,2048,8,4096,304.0,214.6643333333333,,,214.6643333333333,,19.671999999999997,5.024666666666667,24.696666666666665
156,2d,1,2048,8,512,32.0,33.049,,,33.049,32.675000000000004,,,32.675000000000004
157,2d,1,2048,8,512,32.0,33.049,,,33.049,,7.297000000000001,5.025,12.322000000000001
158,2d,1,2048,8,512,304.0,32.675000000000004,,,32.675000000000004,32.675000000000004,,,32.675000000000004
159,2d,1,2048,8,512,304.0,32.675000000000004,,,32.675000000000004,,7.297000000000001,5.025,12.322000000000001
160,3d,1,2048,128,1024,32.0,,511.93133333333327,19.819,531.7503333333333,59.669999999999995,,,59.669999999999995
161,3d,1,2048,128,1024,32.0,,511.93133333333327,19.819,531.7503333333333,,55.56733333333333,5.919999999999999,61.48733333333333
162,3d,1,2048,128,1024,304.0,,55.56733333333333,5.919999999999999,61.48733333333333,59.669999999999995,,,59.669999999999995
163,3d,1,2048,128,1024,304.0,,55.56733333333333,5.919999999999999,61.48733333333333,,55.56733333333333,5.919999999999999,61.48733333333333
164,3d,1,2048,128,2048,32.0,,806.3249999999999,19.698666666666668,826.0236666666666,111.96300000000001,,,111.96300000000001
